desig,name,number,survey,a,e,i,node,argper,period,ra,dec,vmag,absmag,absmagsig,slopepar,heldist,obsdist,alpha,elong,glxlon,glxlat,ra3sig,dec3sig,midtime,midtimejd,aorkey,framet,totalt,elapsed,notes,ch1,ch1err,ch1snr,ch2,ch2err,ch2snr,diam,d1sigl,d1sigu,d3sigl,d3sigu,pv,pv1sigl,pv1sigu,pv3sigl,pv3sigu,eta,eta1sigl,eta1sigu,eta3sigl,eta3sigu,reflsol
2003 AK73,,,NEOLegacy,2.4451,0.69818,4.04,175.4545,195.7653,3.8234,38.50223,6.95741,20.95,19.8,0.22,0.15,1.185,0.629,57.9,90.1,162.71851,-47.833508,56.1,12.77,2018-05-21T06:07:53.534,2458259.7554807174,61844224,100.0,8000.0,8716.2,,,,,74.7,8.0,9.3,0.331,-0.07400000000000001,0.151,-0.136,0.5820000000000001,0.195,-0.105,0.136,-0.17300000000000001,0.401,1.42,-0.3,0.54,-0.54,1.67,0.0
2003 YS17,,,NEOLegacy,0.9308,0.31328,6.52,98.9974,134.6742,0.8979799999999999,28.291759999999996,13.11374,21.87,21.9,0.3,0.15,1.043,0.32899999999999996,74.1,87.6,145.29193899999999,-47.0605,0.27,0.24,2018-05-16T05:31:00.289,2458254.7298644558,61876992,100.0,8000.0,8272.7,,,,,16.9,3.8,4.4,0.08900000000000001,-0.016,0.031,-0.036000000000000004,0.125,0.38,-0.17600000000000002,0.222,-0.324,0.747,1.58,-0.29,0.51,-0.54,1.54,0.01
2004 YC5,,351340,NEOLegacy,1.9295,0.6171399999999999,11.4,334.5858,27.1492,2.6802099999999998,17.57357,28.12939,19.54,18.36,0.22,0.15,1.156,0.622,60.2,87.3,127.97934099999999,-34.556053000000006,0.39,0.21,2018-05-12T23:15:33.000,2458251.4691319442,61880320,100.0,1200.0,1220.9,,,,,255.7,14.8,17.3,0.598,-0.121,0.255,-0.221,0.97,0.222,-0.115,0.13699999999999998,-0.195,0.414,1.44,-0.29,0.53,-0.54,1.66,0.0
2005 BC,,348314,NEOLegacy,1.1896,0.27808,30.12,292.4739,84.2106,1.29756,201.7617,-45.87558,20.85,18.26,0.22,0.15,1.475,1.175,42.7,84.8,309.386641,16.552354,0.16,0.17,2018-05-15T17:40:52.400,2458254.2367175925,62018048,100.0,8000.0,8715.4,,,,,58.1,7.1,8.2,0.718,-0.187,0.401,-0.32899999999999996,1.838,0.16899999999999998,-0.1,0.149,-0.157,0.46799999999999997,1.27,-0.3,0.53,-0.55,1.8,0.01
2005 TY51,,,NEOLegacy,2.5938,0.5604899999999999,24.4,79.6076,3.4821,4.17739,26.7868,24.03513,19.07,17.97,0.22,0.15,1.151,0.63,60.5,86.3,138.929029,-37.099252,0.59,1.82,2018-05-20T05:23:58.387,2458258.724981331,61891072,30.0,480.0,1243.1,,,,,484.1,20.3,23.8,0.8140000000000001,-0.17300000000000001,0.36200000000000004,-0.303,1.35,0.17300000000000001,-0.092,0.111,-0.152,0.34299999999999997,1.44,-0.29,0.54,-0.53,1.66,0.0
2006 TC1,,397326,NEOLegacy,1.7202,0.37506,4.5,326.1069,160.7871,2.2561299999999997,25.4519,17.29431,20.34,19.32,0.22,0.15,1.13,0.618,62.3,84.7,139.73040500000002,-43.928166,0.25,0.25,2018-05-18T01:58:39.198,2458256.582398125,61931776,100.0,6000.0,6520.7,,,,,95.4,9.1,10.5,0.36200000000000004,-0.07200000000000001,0.145,-0.135,0.561,0.251,-0.126,0.153,-0.217,0.45,1.46,-0.3,0.51,-0.55,1.63,0.0
2007 DW,,,NEOLegacy,1.0792,0.52459,38.69,328.1139,313.2606,1.12119,207.8386,-22.78833,21.16,20.91,0.3,0.15,1.1420000000000001,0.43700000000000006,60.7,97.0,320.541459,38.026443,0.47,0.25,2018-05-24T02:38:02.398,2458262.609749977,62021632,100.0,8000.0,8709.9,,,,,67.1,7.6,8.8,0.207,-0.044000000000000004,0.09300000000000001,-0.083,0.358,0.175,-0.094,0.126,-0.155,0.447,1.44,-0.29,0.54,-0.53,1.66,0.0
2008 QY,,349507,NEOLegacy,1.1673,0.58152,13.58,1.9776,254.8155,1.26121,219.22636,33.923809999999996,18.01,18.84,0.22,0.15,1.082,0.244,65.1,102.1,56.087289,66.370243,0.36,0.47,2018-05-22T10:22:52.327,2458260.932550081,61890560,12.0,120.0,1178.5,,,,,364.2,17.8,20.5,0.301,-0.048,0.096,-0.094,0.364,0.573,-0.253,0.248,-0.474,0.639,1.48,-0.29,0.52,-0.53,1.63,0.02
2008 RE80,,355770,NEOLegacy,1.4817,0.24603000000000003,16.59,182.0303,26.1854,1.80362,54.625,-6.414680000000001,20.95,18.65,0.22,0.15,1.5619999999999998,1.055,39.4,98.7,193.11713500000002,-45.284423,0.16,0.17,2018-05-23T20:02:26.699,2458262.3350312384,61889024,100.0,8000.0,8489.5,,,,,115.3,9.9,11.6,0.95,-0.271,0.5820000000000001,-0.475,2.734,0.067,-0.042,0.068,-0.063,0.237,1.23,-0.29,0.52,-0.54,1.86,0.0
2012 SQ56,,505169,NEOLegacy,2.9917,0.5685100000000001,29.53,36.3303,29.9946,5.17468,201.60218999999998,39.40182,20.8,18.07,0.22,0.15,1.91,1.234,28.0,116.8,94.456378,75.734945,0.26,0.47,2018-05-22T08:53:12.767,2458260.870286655,61858048,100.0,8000.0,8614.3,,,,,220.3,13.7,16.1,2.168,-0.74,1.7619999999999998,-1.203,8.874,0.022000000000000002,-0.015,0.028999999999999998,-0.021,0.115,1.12,-0.29,0.55,-0.51,1.97,0.0
